app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
haccio,cori lustre,strong-scaling,1024,2347852.502778019,6.0,25165824.0,1198331292.9699972,2000000.0000049388,2383127272.7212815,118088126.67126666,37940000.84754709,713465233.1298326,0.5625278515625,0.0740359999999996,1.3922530000000004,0.04267337890625008,0.032660000000000244,0.5829549999999992,0.2623808905100603,0.0346047494318059,0.6502148026252969
haccio,cori lustre,weak-scaling,64,2975142.5936777177,7.0,25165824.0,1352772550.210957,4875000.000028952,2137951236.088697,305690062.3489989,217687483.5271562,1023443780.5540459,0.21472598437499996,0.05891200000000005,0.2769710000000001,0.05164346875,0.04231100000000004,0.05771100000000001,0.42884687440287944,0.11766067839298164,0.5532415946722724
haccio,cori lustre,weak-scaling,128,2994768.9654637175,7.0,25165824.0,1282814232.2736104,9749999.999990249,2062096361.8485756,324684903.40157485,206385749.2007202,1046882780.893505,0.204114375,0.05759300000000035,0.292138,0.06284755468749996,0.04004400000000019,0.21799299999999996,0.3863703631832695,0.10903139754785825,0.5530328326412048
haccio,cori lustre,weak-scaling,256,3004679.576406463,7.0,25165824.0,1316397239.819409,4333333.333369091,2128908214.195072,206131011.23328027,135742730.29367012,438827331.2177934,0.3035025507812499,0.13739600000000013,0.4441719999999997,0.05900982812500004,0.040498000000000034,0.2657339999999997,0.4120751810676443,0.18665907622962546,0.6028926006323436
haccio,cori lustre,weak-scaling,512,3009659.5209125476,7.0,25165824.0,1331959356.3940065,9749999.999990249,2221559322.034812,250073181.19984606,85755093.62310386,922068237.7769965,0.2790153457031253,0.06538899999999997,0.7030850000000003,0.05072327929687497,0.041314000000000295,0.11386199999999991,0.26806184763269003,0.06263680906372518,0.6759289366541872
haccio,cori lustre,weak-scaling,1024,2678883.8783789645,7.0,25165824.0,1208538117.5161467,1103448.2758620216,2473056603.7749968,159660851.8172444,42768069.42404116,759925082.8701397,0.49809133984374987,0.07934100000000033,1.4097710000000017,0.05525737792968741,0.037325999999999415,0.6639710000000001,0.2574519692634823,0.04040866580040328,0.7303575391597209
haccio,cori 1 bb,strong-scaling,64,4449778.387047032,7.0,25165824.0,145568830.94542515,5571428.571445091,1086607253.8860135,131610567.91450866,120550306.19651918,187298605.9186149,0.6928760000000002,0.481464,0.7480490000000002,0.6533782187499998,0.4690760000000001,0.728446,0.841184206578714,0.5851169088679092,0.9078011080066769
haccio,cori 1 bb,strong-scaling,128,3489556.8645712067,7.0,25165824.0,94168207.27982612,6999999.99979871,1230723004.6948278,93525405.30558163,61346578.08887118,596464677.1660227,0.9801675546875002,0.11778500000000003,1.1452080000000002,0.9424881249999995,0.11421000000000008,1.1110289999999992,0.8023063240529575,0.09643134951082222,0.9377465104986563
haccio,cori 1 bb,strong-scaling,256,3004679.5762117966,7.0,25165824.0,56847493.4096733,1559749.6251517243,1016800969.69697,60635692.59077109,29746836.879432637,553986493.3155695,1.5428955195312495,0.10883499999999997,2.026874999999999,1.4927426718750003,0.08799399999999998,1.9457960000000005,0.731623288705186,0.05161520895536225,0.960926685755597
haccio,cori 1 bb,strong-scaling,512,2761035.4754801597,7.0,25165824.0,20078554.80163549,236660.83464689206,914322918.1804973,19358812.035155598,15001575.490798341,147481599.59045023,3.227425509765627,0.375046,3.687104999999999,2.7936963828124974,0.2810649999999999,3.2585899999999994,0.8125857204841415,0.0944995921876837,0.9290828328111128
haccio,cori 1 bb,strong-scaling,1024,2353983.116024023,7.0,25165824.0,57207678.53066614,136470.78422389735,1391761088.3751764,22152579.22426886,12789414.797502168,812185555.914328,3.256109273437507,0.06503699999999982,4.130143,2.5104066103515614,0.05395300000000003,3.532926,0.6922403935525472,0.013716758808915321,0.886326206101335
haccio,cori 1 bb,weak-scaling,64,2975142.592906708,7.0,25165824.0,143774660.7082727,4047430.8300395263,816647975.078124,142978520.62729555,121960737.5117575,324154816.3719549,0.4454337500000001,0.18600100000000006,0.49436500000000005,0.41287403124999983,0.160645,0.478629,0.814956762138464,0.34027796350192735,0.9042943474371852
haccio,cori 1 bb,weak-scaling,128,2994768.9654637175,7.0,25165824.0,85450793.54056515,1908986.9721309927,1349518661.5186617,97786534.39975053,60529305.34947364,694053481.5991527,0.8309507265624997,0.086871,0.996098,0.7893003906250002,0.08088599999999996,0.9578010000000002,0.7834862353537286,0.08190092695901463,0.9391692984161567
haccio,cori 1 bb,weak-scaling,256,3004679.5762117966,7.0,25165824.0,55064879.30924808,1003502.6738991463,1045439680.9571282,64346630.69111065,30245523.35240909,542775402.1767504,1.493980035156251,0.11108300000000006,1.9934559999999995,1.4436136132812487,0.08930600000000005,1.9172479999999996,0.7200863844951784,0.0535270125548105,0.9609105587257242
haccio,cori 1 bb,weak-scaling,512,3009659.520717559,7.0,25165824.0,24139292.63816008,423595.1878873081,609592907.4921882,19221169.23766356,15173122.942240667,126943574.19572175,3.5194613183593746,0.47496,3.9736790000000033,3.0564727089843755,0.34353800000000007,3.5074899999999998,0.811612874682686,0.10961286820814821,0.9168017635262531
haccio,cori 1 bb,weak-scaling,1024,2691965.6925223456,6.0,25165824.0,15312659.72672148,558071.4109321911,838860800.0001669,14730667.964120468,12787311.516943837,36449823.53389247,4.213045286132817,1.6541420000000011,4.715078999999998,3.566754574218752,1.325817000000001,4.251021999999999,0.7787678026738856,0.3053800558117969,0.8837795974042478
haccio,cori 2 bb,strong-scaling,64,4449778.387047032,7.0,25165824.0,273342322.6341298,3545454.5454420536,1714059664.8958068,191689706.84608233,175620347.43320084,222644090.56119308,0.4713323281250001,0.40502999999999983,0.5134800000000002,0.3985185000000001,0.304731,0.463035,0.8097900399569323,0.6958633902522043,0.8828549975035482
haccio,cori 2 bb,strong-scaling,128,3489556.8641831586,7.0,25165824.0,144526515.40754998,4874999.9999951245,1034098619.3293734,137272351.44810334,109902450.54712981,387990434.7970155,0.5491829765625,0.18107300000000004,0.6392450000000001,0.5138587421875,0.174981,0.6091419999999999,0.7703294994246651,0.25389741346880323,0.8966015095696858
haccio,cori 2 bb,strong-scaling,256,3004679.5762117966,7.0,25165824.0,216173930.33194068,1284925.1280543094,1376083989.5014398,109206959.70373267,53655075.07673197,645039370.0787407,0.7814944296874998,0.09347199999999992,1.1237169999999996,0.7455117812500005,0.08242399999999996,1.0743129999999999,0.650455897514011,0.07781584162049084,0.9347778554953176
haccio,cori 2 bb,strong-scaling,512,2761035.4754801597,7.0,25165824.0,146182983.53860945,378443.45955622284,1260307692.3077774,49587773.77109928,25694589.9216142,691620931.5411066,1.663625789062502,0.079975,2.1526860000000005,1.5117183574218758,0.06998399999999998,2.024552000000001,0.7200400572555439,0.03463131766779218,0.9293652539134851
haccio,cori 2 bb,strong-scaling,1024,2357676.875904455,6.0,25165824.0,89312915.25711717,77485.87103029157,1499304378.9097414,20857231.829287793,6952965.213639279,669583206.5713425,4.769470971679689,0.0788879999999999,7.5970580000000005,2.931029279296873,0.062390999999999947,6.0056150000000015,0.5692741825517835,0.009399681163105097,0.9081682299882061
