App: LBANN-1.0.0-Autoencoder_cifar10_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
22  0.580930   0.379676      0.039394         1.0
23  0.576335   0.362587      0.061078         1.0
24  0.577688   0.359623      0.062689         1.0
25  0.574576   0.359414      0.066011         1.0
26  0.567381   0.360494      0.072126         1.0
27  0.568943   0.357930      0.073127         1.0
28  0.576744   0.357325      0.065931         1.0
29  0.564495   0.358721      0.076785         1.0
30  0.565429   0.359152      0.075419         1.0
31  0.566228   0.360293      0.073479         1.0
32  0.572691   0.355189      0.072120         1.0
33  0.568322   0.353554      0.078124         1.0
34  0.574779   0.357336      0.067885         1.0
35  0.569482   0.354926      0.075593         1.0
36  0.578265   0.375762      0.045973         1.0
37  0.563525   0.356477      0.079998         1.0
38  0.563493   0.368490      0.068017         1.0
39  0.564088   0.359080      0.076832         1.0
40  0.575484   0.208761      0.215755         1.0
41  0.564291   0.209355      0.226354         1.0
42  0.567158   0.210282      0.222561         1.0
43  0.573628   0.208330      0.218042         1.0
44  0.572949   0.214190      0.212861         1.0
45  0.567222   0.213931      0.218847         1.0
46  0.564337   0.215624      0.220040         1.0
47  0.561973   0.216738      0.221290         1.0
48  0.577180   0.357938      0.064882         1.0
49  0.570207   0.358150      0.071643         1.0
50  0.563657   0.357586      0.078757         1.0
51  0.571527   0.358208      0.070265         1.0
52  0.575874   0.368617      0.055509         1.0
53  0.570780   0.360637      0.068583         1.0
54  0.563445   0.370516      0.066039         1.0
55  0.559355   0.371482      0.069162         1.0
56  0.573587   0.367593      0.058820         1.0
57  0.570939   0.354009      0.075052         1.0
58  0.567688   0.364847      0.067465         1.0
59  0.569863   0.354817      0.075321         1.0
60  0.582159   0.359942      0.057899         1.0
61  0.570908   0.360203      0.068888         1.0
62  0.562899   0.365793      0.071308         1.0
63  0.562191   0.361483      0.076326         1.0
Mean I/O Intensity over ranks: 
io_time         0.574355
comm_time       0.305822
compute_time    0.119823
total_time      1.000000
==================================


App: enzo-dev-20200723-CollapseTestNonCosmological_HDF5
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.048496   0.272637      0.678867         1.0
1   0.016013   0.341695      0.642292         1.0
2   0.012433   0.345594      0.641973         1.0
3   0.013692   0.344045      0.642263         1.0
4   0.012031   0.346157      0.641813         1.0
5   0.014618   0.343080      0.642302         1.0
6   0.012442   0.344985      0.642573         1.0
7   0.012465   0.345196      0.642339         1.0
8   0.014257   0.344336      0.641407         1.0
9   0.012174   0.345304      0.642522         1.0
10  0.014824   0.343251      0.641925         1.0
11  0.013529   0.343834      0.642637         1.0
12  0.016168   0.342499      0.641333         1.0
13  0.012618   0.345306      0.642075         1.0
14  0.015433   0.342977      0.641590         1.0
15  0.014277   0.343870      0.641853         1.0
16  0.016883   0.364794      0.618323         1.0
17  0.015747   0.342551      0.641703         1.0
18  0.024756   0.333426      0.641817         1.0
19  0.010956   0.346618      0.642426         1.0
20  0.014657   0.366132      0.619211         1.0
21  0.011634   0.346307      0.642059         1.0
22  0.013646   0.097339      0.889015         1.0
23  0.016093   0.095338      0.888569         1.0
24  0.013815   0.939358      0.046827         1.0
25  0.011890   0.917697      0.070413         1.0
26  0.015380   0.094638      0.889982         1.0
27  0.016455   0.110566      0.872978         1.0
28  0.014867   0.933110      0.052022         1.0
29  0.014071   0.934219      0.051710         1.0
30  0.014845   0.931211      0.053944         1.0
31  0.019639   0.926259      0.054103         1.0
32  0.013121   0.956294      0.030585         1.0
33  0.014062   0.932832      0.053106         1.0
34  0.016689   0.929113      0.054198         1.0
35  0.013248   0.933076      0.053676         1.0
36  0.016134   0.952429      0.031437         1.0
37  0.015076   0.931744      0.053180         1.0
38  0.016451   0.111265      0.872283         1.0
39  0.016790   0.111795      0.871414         1.0
40  0.014132   0.957633      0.028234         1.0
41  0.012472   0.935444      0.052084         1.0
42  0.013876   0.112973      0.873151         1.0
43  0.015522   0.112467      0.872011         1.0
44  0.015569   0.934013      0.050418         1.0
45  0.014215   0.933973      0.051812         1.0
46  0.013636   0.933877      0.052486         1.0
47  0.013429   0.933415      0.053156         1.0
48  0.013859   0.934126      0.052015         1.0
49  0.011946   0.935296      0.052757         1.0
50  0.013286   0.933816      0.052898         1.0
51  0.014310   0.917364      0.068326         1.0
52  0.012903   0.918941      0.068156         1.0
53  0.015435   0.916469      0.068096         1.0
54  0.014560   0.917904      0.067536         1.0
55  0.017067   0.915457      0.067476         1.0
56  0.016795   0.915309      0.067895         1.0
57  0.012816   0.919259      0.067925         1.0
58  0.012644   0.918722      0.068634         1.0
59  0.014244   0.917973      0.067783         1.0
60  0.013204   0.919408      0.067388         1.0
61  0.016063   0.916368      0.067569         1.0
62  0.013441   0.918895      0.067664         1.0
63  0.013650   0.918965      0.067385         1.0
Mean I/O Intensity over ranks: 
io_time         0.015023
comm_time       0.624390
compute_time    0.360588
total_time      1.000000
==================================


App: MACSio 2-Ale3d_silo
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.234111   0.577045      0.188844         1.0
1   0.110037   0.822121      0.067842         1.0
2   0.174610   0.792602      0.032788         1.0
3   0.053749   0.853883      0.092368         1.0
4   0.057941   0.854674      0.087385         1.0
5   0.056401   0.856774      0.086825         1.0
6   0.068948   0.845716      0.085336         1.0
7   0.055344   0.855908      0.088747         1.0
8   0.418096   0.554377      0.027527         1.0
9   0.068636   0.843429      0.087936         1.0
10  0.065915   0.847167      0.086918         1.0
11  0.066047   0.846801      0.087152         1.0
12  0.080947   0.840512      0.078541         1.0
13  0.070660   0.847622      0.081718         1.0
14  0.058024   0.855268      0.086709         1.0
15  0.067719   0.850101      0.082181         1.0
16  0.348013   0.626895      0.025092         1.0
17  0.078071   0.834571      0.087358         1.0
18  0.072705   0.840121      0.087174         1.0
19  0.076313   0.838181      0.085506         1.0
20  0.085875   0.837153      0.076972         1.0
21  0.082431   0.835822      0.081747         1.0
22  0.070437   0.844728      0.084835         1.0
23  0.078980   0.840003      0.081017         1.0
24  0.338259   0.605695      0.056046         1.0
25  0.067970   0.843627      0.088403         1.0
26  0.080789   0.833158      0.086053         1.0
27  0.076362   0.837529      0.086108         1.0
